ex,Height(Inches),Weight(Pounds)
1161,65.46833,120.3029
1162,69.02275,129.1442
1163,74.24899,150.2167
1164,64.08575,120.2076
1165,67.57977,132.153
1166,69.19395,132.1247
1167,64.48615,119.5029
1168,68.75888,136.7629
1169,68.45184,147.7846
1170,66.44205,145.5992
1171,70.1756,124.9662
1172,67.1386,127.902
1173,66.91548,125.9147
1174,68.63357,109.6821
1175,66.95697,107.7733
1176,69.97351,134.1099
1177,66.92568,134.901
1178,68.76347,139.6364
1179,67.40692,127.0273
1180,65.74615,134.7717
1181,65.88357,99.97124
1182,66.77623,129.4522
1183,66.9622,129.3592
1184,63.46642,103.6594
1185,68.35224,115.7327
1186,64.43147,104.8874
1187,63.52175,131.0054
1188,66.86196,129.0709
1189,65.53651,102.5494
1190,71.82306,133.2257
1191,68.86538,146.3008
1192,70.79207,140.8125
1193,69.02139,132.4618
1194,67.3527,118.8437
1195,66.3294,133.4495
1196,67.75792,134.882
1197,68.64796,129.6789
1198,68.18784,136.7318
1199,71.53978,133.9981
1200,68.58959,128.1324
1201,71.33959,130.2482
1202,67.18757,130.2934
1203,67.70033,128.3208
1204,64.13048,134.0501
1205,69.90087,140.5808
1206,66.72044,115.1936
1207,69.3532,135.8445
1208,69.70788,142.8508
1209,67.73755,143.0931
1210,68.16879,114.9519
1211,71.94697,149.4261
1212,67.37481,132.0558
1213,65.34039,127.0174
1214,65.63768,103.3615
1215,68.91559,125.3216
1216,65.44571,130.6423
1217,68.11726,124.3662
1218,69.52284,140.6019
1219,69.40202,124.229
1220,70.00803,132.9642
1221,68.59817,130.2067
1222,64.76508,106.6241
1223,67.52805,108.9888
1224,66.71974,109.9473
1225,67.94808,124.363
1226,69.09682,131.5021
1227,70.04724,137.4264
1228,67.92097,116.0228
1229,67.99135,117.9061
1230,68.92023,116.7259
1231,66.75149,115.4633
1232,68.07152,129.9734
1233,68.75961,148.9128
1234,70.93048,126.0818
1235,68.29873,115.4952
1236,69.25316,158.7833
1237,68.39327,141.2064
1238,68.48007,129.838
1239,69.47286,137.0682
1240,66.33003,123.2428
1241,66.88679,117.9651
1242,65.20091,102.4998
1243,68.37273,130.6338
1244,67.10601,144.6224
1245,62.64242,100.1982
1246,69.06906,120.2937
1247,71.15727,144.3108
1248,68.93324,114.8805
1249,68.10686,141.5328
1250,64.45765,114.6963
1251,65.96736,121.6607
1252,68.73038,119.3241
1253,70.53564,135.206
1254,67.40711,115.9409
1255,66.11309,123.2264
1256,69.47433,133.0619
1257,70.95476,136.3442
1258,65.56715,124.1401
1259,65.49243,116.2944
1260,68.89342,133.1669
1261,67.59755,137.941
1262,66.1724,133.3173
1263,68.70371,114.2219
1264,65.47651,137.6516
1265,67.72604,131.5375
1266,70.02202,137.2221
1267,69.72107,135.1331
1268,67.90954,113.9257
1269,65.61306,132.5883
1270,71.40631,133.5753
1271,66.27843,106.7793
1272,65.0276,95.18466
1273,65.68922,114.2675
1274,66.85743,126.4804
1275,68.23,126.7087
1276,66.12036,110.9096
1277,71.32591,132.3678
1278,70.2075,133.7174
1279,71.03619,144.0125
1280,68.18528,129.9098
1281,68.99195,106.5697
1282,67.95745,121.9433
1283,69.49971,118.1623
1284,67.12538,106.6739
1285,67.75678,128.444
1286,67.67958,127.4595
1287,64.71984,102.93
1288,69.72873,127.8299
1289,68.50234,139.7868
1290,70.56446,133.2813
1291,66.58715,120.2949
1292,63.80202,102.4047
1293,66.38836,134.2056
1294,66.7895,121.4804
1295,66.99003,108.2574
1296,72.61998,145.8469
1297,67.80601,114.9258
1298,68.63913,124.6757
1299,65.81803,113.619
1300,66.5755,126.2651
1301,66.40067,124.0382
1302,66.75992,120.554
1303,69.02475,124.4235
1304,70.24902,130.1726
1305,70.18308,137.2733
1306,67.63509,126.9051
1307,66.43547,118.2885
1308,67.50559,119.6817
1309,68.19559,134.332
1310,66.32293,120.0364
1311,70.33673,140.2713
1312,67.9766,139.4025
1313,66.07451,105.1086
1314,68.00118,140.3289
1315,65.48497,139.7691
1316,66.99532,118.4896
1317,69.89331,121.8301
1318,68.03229,130.3482
1319,70.00989,138.2214
1320,66.91337,119.9847
1321,71.43101,141.5275
1322,64.42386,128.0746
1323,68.63254,122.6639
1324,70.14808,135.5841
1325,69.94628,158.7993
1326,66.40808,103.1971
1327,65.27161,122.9332
1328,67.02796,119.343
1329,66.333,139.5722
1330,70.05322,124.1145
1331,71.49315,132.5483
1332,67.11911,116.0712
1333,72.52115,162.8737
1334,68.59945,131.1394
1335,66.72202,124.8745
1336,68.33163,123.738
1337,66.52804,119.0115
1338,69.80841,135.4606
1339,70.18855,139.6563
1340,67.70646,120.3449
1341,66.73552,113.0404
1342,68.37589,115.658
1343,68.14008,128.6282
1344,65.33269,96.52385
1345,68.27634,122.6695
1346,69.17767,129.3968
1347,66.47919,128.8422
1348,66.27731,133.0853
1349,67.80211,130.1248
1350,72.66613,138.9119
1351,70.62111,138.9252
1352,67.45131,105.9085
1353,68.51925,135.4393
1354,72.05853,147.3129
1355,64.71472,108.7636
1356,66.49054,128.9625
1357,71.9151,147.7867
1358,68.37932,128.5716
1359,69.44208,127.4285
1360,65.67788,128.9123
1361,67.97944,123.3621
1362,68.18702,122.0501
1363,67.96766,159.6644
1364,67.69418,121.5022
1365,66.85727,124.3686
1366,68.50423,130.5608
1367,66.46892,117.7781
1368,70.53609,147.1473
1369,68.60163,128.6512
1370,67.13712,115.6854
1371,63.82574,104.102
1372,67.39413,122.4406
1373,71.3131,124.6131
1374,67.98003,100.4089
1375,67.8037,131.8038
1376,71.05584,134.7575
1377,70.6785,148.5516
1378,69.45454,151.3435
1379,67.75404,121.4032
1380,66.37759,132.7138
1381,66.90907,118.1243
1382,67.36022,120.412
1383,70.03559,141.4458
1384,74.19488,129.0597
1385,68.44192,129.3121
1386,68.86465,148.5716
1387,66.41874,112.319
1388,68.58215,130.0932
1389,69.01529,123.1712
1390,64.12752,99.36058
1391,72.58824,139.1404
1392,69.53845,131.9771
1393,69.32255,127.7025
1394,67.26117,136.8449
1395,68.8089,126.4916
1396,65.83333,111.1847
1397,69.14631,128.5255
1398,66.76436,123.1419
1399,68.10866,141.374
1400,66.52579,127.0178
1401,66.72267,118.0513
1402,66.66847,115.3536
1403,66.13808,136.9275
1404,68.04169,126.5685
1405,67.37032,129.216
1406,68.37927,142.1694
1407,68.64261,136.578
1408,67.06567,121.962
1409,69.29222,146.9053
1410,69.97624,142.657
1411,68.36664,140.2292
1412,68.2079,109.8398
1413,67.34824,134.8916
1414,65.91384,127.6066
1415,67.37608,108.9719
1416,70.77374,138.4284
1417,72.8469,151.4509
1418,64.95583,130.0036
1419,68.67514,113.0897
1420,68.73548,129.1464
1421,67.33471,133.1919
1422,66.68746,124.866
1423,65.85168,121.4815
1424,70.81582,137.8631
1425,65.09564,125.8314
1426,70.61931,135.3299
1427,67.96031,107.3931
1428,70.68803,144.1915
1429,66.34093,100.5991
1430,71.98092,130.1721
1431,70.17314,140.8988
1432,70.63179,143.6734
1433,64.87469,90.29334
1434,69.62426,130.4148
1435,65.17407,123.8754
1436,69.09608,154.0757
1437,71.81975,137.4948
1438,68.66104,141.8174
1439,67.17895,126.8401
1440,68.00257,131.9545
1441,70.77144,120.9803
1442,68.82564,119.7816
1443,70.04554,127.7472
1444,68.95339,134.2469
1445,64.41355,108.5235
1446,63.82854,125.0611
1447,68.3559,123.0197
1448,69.25516,129.8861
1449,73.38109,154.8178
1450,69.36199,151.9248
1451,70.71977,135.6969
1452,67.59075,127.2047
1453,70.98644,137.876
1454,67.73825,124.4771
1455,71.10527,154.6002
1456,71.95975,134.0699
1457,65.74155,117.4639
1458,65.64344,128.3519
1459,68.37038,118.1031
1460,70.50701,127.8238
1461,66.43263,129.914
1462,66.60278,131.3221
1463,68.03472,128.1544
1464,69.83384,122.8347
1465,68.22043,143.5868
1466,67.78035,106.5681
1467,67.1894,124.9457
1468,66.17013,113.6761
1469,65.98555,105.4988
1470,70.37458,125.3804
1471,66.98272,120.0159
1472,69.07135,135.0513
1473,64.39778,112.0501
1474,70.30031,126.6445
1475,68.46686,126.7371
1476,68.07287,138.6844
1477,69.65267,143.346
1478,67.85116,124.6758
1479,68.81195,119.2154
1480,68.88093,129.5162
1481,71.2914,141.2136
1482,64.93822,124.9304
1483,64.39593,117.6936
1484,67.61191,128.117
1485,65.36431,125.507
1486,68.57192,139.9115
1487,69.63015,132.5572
1488,64.66196,129.5233
1489,71.18005,139.3905
1490,65.6959,121.712
1491,66.05318,122.7607
1492,67.04924,117.4026
1493,68.42541,135.9146
1494,68.54306,123.838
1495,65.95454,102.8468
1496,66.95297,119.3281
1497,64.91704,104.4281
1498,66.59452,129.2376
1499,68.17706,138.2296
1500,69.573,138.6461
